Node, nghId, nghHop 
 0,18,1 
 0,15,1 
 0,26,1 
 0,41,1 
 0,10,1 
 0,46,1 
 0,30,1 
 0,6,1 
 1,36,2 
 1,48,4 
 2,28,2 
 2,36,2 
 2,47,2 
 2,35,3 
 3,15,1 
 3,18,1 
 3,33,2 
 3,37,2 
 3,7,2 
 3,30,1 
 4,9,2 
 4,33,2 
 4,16,4 
 4,38,2 
 5,35,3 
 6,0,0 
 6,9,2 
 6,15,1 
 6,18,1 
 6,20,2 
 6,24,2 
 6,33,2 
 6,41,1 
 6,38,2 
 7,3,2 
 7,19,2 
 7,37,2 
 7,30,1 
 8,42,5 
 9,15,1 
 9,33,2 
 9,4,3 
 9,6,1 
 9,38,2 
 10,0,0 
 10,11,2 
 10,28,2 
 10,41,1 
 10,24,2 
 10,36,2 
 10,46,1 
 10,47,2 
 11,18,1 
 11,41,1 
 11,20,2 
 11,25,3 
 11,28,2 
 11,10,1 
 11,24,2 
 11,31,3 
 11,46,1 
 11,47,2 
 12,21,4 
 12,39,3 
 12,42,5 
 12,45,4 
 13,24,2 
 13,25,3 
 13,31,3 
 13,14,3 
 13,29,3 
 13,44,4 
 14,13,3 
 14,24,2 
 14,31,3 
 14,40,4 
 14,48,4 
 14,44,4 
 14,22,4 
 15,0,0 
 15,18,1 
 15,26,1 
 15,41,1 
 15,3,2 
 15,9,2 
 15,33,2 
 15,37,2 
 15,30,1 
 15,6,1 
 16,4,3 
 17,32,5 
 17,44,4 
 18,0,0 
 18,11,2 
 18,15,1 
 18,41,1 
 18,3,2 
 18,20,2 
 18,46,1 
 18,30,1 
 18,6,1 
 19,26,1 
 19,37,2 
 19,7,2 
 20,11,2 
 20,18,1 
 20,41,1 
 20,25,3 
 20,24,2 
 20,31,3 
 20,46,1 
 20,6,1 
 20,34,3 
 21,39,3 
 21,12,4 
 21,23,5 
 22,14,3 
 22,31,3 
 22,40,4 
 22,48,4 
 23,21,4 
 24,10,1 
 24,11,2 
 24,20,2 
 24,25,3 
 24,41,1 
 24,31,3 
 24,13,3 
 24,14,3 
 24,29,3 
 24,6,1 
 25,11,2 
 25,20,2 
 25,49,4 
 25,24,2 
 25,31,3 
 25,13,3 
 25,29,3 
 25,34,3 
 26,0,0 
 26,15,1 
 26,19,2 
 26,30,1 
 27,29,3 
 27,39,3 
 27,45,4 
 27,49,4 
 27,34,3 
 27,38,2 
 28,11,2 
 28,2,3 
 28,10,1 
 28,36,2 
 28,46,1 
 28,47,2 
 29,13,3 
 29,24,2 
 29,25,3 
 29,49,4 
 29,27,3 
 29,34,3 
 29,38,2 
 29,44,4 
 30,0,0 
 30,3,2 
 30,7,2 
 30,15,1 
 30,18,1 
 30,26,1 
 30,46,1 
 31,11,2 
 31,20,2 
 31,24,2 
 31,25,3 
 31,47,2 
 31,13,3 
 31,14,3 
 31,22,4 
 32,40,4 
 32,44,4 
 32,17,5 
 33,3,2 
 33,9,2 
 33,15,1 
 33,37,2 
 33,4,3 
 33,6,1 
 34,20,2 
 34,25,3 
 34,27,3 
 34,29,3 
 34,45,4 
 34,49,4 
 34,38,2 
 35,2,3 
 35,36,2 
 35,43,4 
 35,5,4 
 36,2,3 
 36,10,1 
 36,28,2 
 36,47,2 
 36,1,3 
 36,35,3 
 37,3,2 
 37,15,1 
 37,19,2 
 37,33,2 
 37,7,2 
 38,4,3 
 38,6,1 
 38,9,2 
 38,27,3 
 38,29,3 
 38,34,3 
 38,39,3 
 39,45,4 
 39,21,4 
 39,27,3 
 39,38,2 
 39,12,4 
 40,14,3 
 40,48,4 
 40,32,5 
 40,22,4 
 41,0,0 
 41,11,2 
 41,15,1 
 41,18,1 
 41,20,2 
 41,10,1 
 41,24,2 
 41,46,1 
 41,6,1 
 42,45,4 
 42,49,4 
 42,8,6 
 42,12,4 
 43,35,3 
 44,13,3 
 44,14,3 
 44,29,3 
 44,32,5 
 44,17,5 
 45,49,4 
 45,39,3 
 45,42,5 
 45,27,3 
 45,34,3 
 45,12,4 
 46,0,0 
 46,10,1 
 46,11,2 
 46,18,1 
 46,20,2 
 46,28,2 
 46,41,1 
 46,47,2 
 46,30,1 
 47,2,3 
 47,10,1 
 47,11,2 
 47,28,2 
 47,31,3 
 47,36,2 
 47,46,1 
 48,1,3 
 48,14,3 
 48,40,4 
 48,22,4 
 49,25,3 
 49,45,4 
 49,29,3 
 49,42,5 
 49,27,3 
 49,34,3 